DATE_FROM,DATE_TO,PRODUCT_TYPE,TENDER_NUMBER,PRODUCTNAME,CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AT_DEMAND_[MW],AT_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AT_IMPORT(-)_EXPORT(+)_[MW],BE_DEMAND_[MW],BE_SETTLEMENTCAPACITY_PRICE_[EUR/MW],BE_IMPORT(-)_EXPORT(+)_[MW],CH_DEMAND_[MW],CH_SETTLEMENTCAPACITY_PRICE_[EUR/MW],CH_IMPORT(-)_EXPORT(+)_[MW],DE_DEMAND_[MW],DE_SETTLEMENTCAPACITY_PRICE_[EUR/MW],DE_IMPORT(-)_EXPORT(+)_[MW],FR_DEMAND_[MW],FR_SETTLEMENTCAPACITY_PRICE_[EUR/MW],FR_IMPORT(-)_EXPORT(+)_[MW],NL_DEMAND_[MW],NL_SETTLEMENTCAPACITY_PRICE_[EUR/MW],NL_IMPORT(-)_EXPORT(+)_[MW],SI_DEMAND_[MW],SI_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SI_IMPORT(-)_EXPORT(+)_[MW],DK_DEMAND_[MW],DK_SETTLEMENTCAPACITY_PRICE_[EUR/MW],DK_IMPORT(-)_EXPORT(+)_[MW],Column1,,
01/01/2021,01/01/2021,FCR,1,NEGPOS_00_04,22.990,71.000,22.990,4.000,87.000,161.760,-60.000,67.000,22.990,15.000,562.000,22.990,38.000,508.000,22.990,73.000,114.000,22.990,-70.000,-,-,-,-,-,-,96.902,,
01/01/2021,01/01/2021,FCR,1,NEGPOS_04_08,19.500,71.000,19.500,4.000,87.000,158.170,-60.000,67.000,19.500,6.000,562.000,19.500,-32.000,508.000,15.400,152.000,114.000,19.500,-70.000,-,-,-,-,-,-,97.662,,
01/01/2021,01/01/2021,FCR,1,NEGPOS_08_12,17.100,71.000,17.100,-2.000,87.000,62.420,-60.000,67.000,17.100,16.000,562.000,17.100,10.000,508.000,17.100,106.000,114.000,17.100,-70.000,-,-,-,-,-,-,97.882,,
01/01/2021,01/01/2021,FCR,1,NEGPOS_12_16,20.000,71.000,20.000,9.000,87.000,55.890,-60.000,67.000,20.000,13.000,562.000,20.000,28.000,508.000,20.000,80.000,114.000,20.000,-70.000,-,-,-,-,-,-,97.882,,
01/01/2021,01/01/2021,FCR,1,NEGPOS_16_20,15.000,71.000,15.000,-2.000,87.000,48.210,-60.000,67.000,15.000,44.000,562.000,15.000,-19.000,508.000,15.000,107.000,114.000,15.000,-70.000,-,-,-,-,-,-,97.833,,
01/01/2021,01/01/2021,FCR,1,NEGPOS_20_24,20.000,71.000,20.000,0.000,87.000,90.060,-60.000,67.000,20.000,18.000,562.000,20.000,-8.000,508.000,20.000,120.000,114.000,20.000,-70.000,-,-,-,-,-,-,97.784,,
02/01/2021,02/01/2021,FCR,1,NEGPOS_00_04,15.400,71.000,15.400,-2.000,87.000,151.070,-60.000,67.000,15.400,-8.000,562.000,15.400,-12.000,508.000,11.360,152.000,114.000,15.400,-70.000,-,-,-,-,-,-,98.584,,
02/01/2021,02/01/2021,FCR,1,NEGPOS_04_08,18.400,71.000,18.400,-2.000,87.000,141.040,-60.000,67.000,18.400,12.000,562.000,18.400,16.000,508.000,18.400,104.000,114.000,18.400,-70.000,-,-,-,-,-,-,98.584,,
02/01/2021,02/01/2021,FCR,1,NEGPOS_08_12,20.000,71.000,20.000,-2.000,87.000,42.860,-60.000,67.000,20.000,78.000,562.000,20.000,20.000,508.000,20.000,34.000,114.000,20.000,-70.000,-,-,-,-,-,-,98.609,,
02/01/2021,02/01/2021,FCR,1,NEGPOS_12_16,20.000,71.000,20.000,9.000,87.000,41.380,-60.000,67.000,20.000,75.000,562.000,20.000,18.000,508.000,20.000,28.000,114.000,20.000,-70.000,-,-,-,-,-,-,98.646,,
02/01/2021,02/01/2021,FCR,1,NEGPOS_16_20,13.640,71.000,13.640,0.000,87.000,49.600,-60.000,67.000,13.640,52.000,562.000,13.640,-19.000,508.000,13.640,97.000,114.000,13.640,-70.000,-,-,-,-,-,-,98.647,,
