DATE_FROM,DATE_TO,PRODUCT_TYPE,TENDER_NUMBER,PRODUCTNAME,CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AT_DEMAND_[MW],AT_SETTLEMENTCAPACITY_PRICE_[EUR/MW],AT_IMPORT(-)_EXPORT(+)_[MW],BE_DEMAND_[MW],BE_SETTLEMENTCAPACITY_PRICE_[EUR/MW],BE_IMPORT(-)_EXPORT(+)_[MW],CH_DEMAND_[MW],CH_SETTLEMENTCAPACITY_PRICE_[EUR/MW],CH_IMPORT(-)_EXPORT(+)_[MW],DE_DEMAND_[MW],DE_SETTLEMENTCAPACITY_PRICE_[EUR/MW],DE_IMPORT(-)_EXPORT(+)_[MW],FR_DEMAND_[MW],FR_SETTLEMENTCAPACITY_PRICE_[EUR/MW],FR_IMPORT(-)_EXPORT(+)_[MW],NL_DEMAND_[MW],NL_SETTLEMENTCAPACITY_PRICE_[EUR/MW],NL_IMPORT(-)_EXPORT(+)_[MW],SI_DEMAND_[MW],SI_SETTLEMENTCAPACITY_PRICE_[EUR/MW],SI_IMPORT(-)_EXPORT(+)_[MW],DK_DEMAND_[MW],DK_SETTLEMENTCAPACITY_PRICE_[EUR/MW],DK_IMPORT(-)_EXPORT(+)_[MW]
01/01/2022,01/01/2022,FCR,1,NEGPOS_00_04,188.000,73.000,188.000,-43.000,86.000,293.080,-60.000,64.000,188.000,-12.000,555.000,188.000,43.000,489.000,177.320,146.000,116.000,188.000,-40.000,15.000,188.000,-8.000,22.000,188.000,-12.000
01/01/2022,01/01/2022,FCR,1,NEGPOS_04_08,168.000,73.000,168.000,-43.000,86.000,267.480,-60.000,64.000,168.000,-16.000,555.000,168.000,33.000,489.000,8.960,146.000,116.000,168.000,-40.000,15.000,168.000,-8.000,22.000,168.000,-12.000
01/01/2022,01/01/2022,FCR,1,NEGPOS_08_12,99.000,73.000,99.000,-39.000,86.000,171.440,-60.000,64.000,99.000,-14.000,555.000,99.000,34.000,489.000,67.640,146.000,116.000,99.000,-40.000,15.000,99.000,-13.000,22.000,99.000,-14.000
01/01/2022,01/01/2022,FCR,1,NEGPOS_12_16,96.430,73.000,96.430,-39.000,86.000,200.560,-60.000,64.000,96.430,0.000,555.000,96.430,54.000,489.000,96.430,108.000,116.000,96.430,-40.000,15.000,96.430,-9.000,22.000,96.430,-14.000
01/01/2022,01/01/2022,FCR,1,NEGPOS_16_20,48.400,73.000,48.400,-39.000,86.000,188.360,-60.000,64.000,48.400,4.000,555.000,48.400,30.000,489.000,48.400,125.000,116.000,48.400,-40.000,15.000,48.400,-6.000,22.000,48.400,-14.000
01/01/2022,01/01/2022,FCR,1,NEGPOS_20_24,115.170,73.000,115.170,-43.000,86.000,167.600,-60.000,64.000,115.170,-13.000,555.000,115.170,44.000,489.000,115.170,132.000,116.000,115.170,-40.000,15.000,115.170,-7.000,22.000,115.170,-13.000
02/01/2022,02/01/2022,FCR,1,NEGPOS_00_04,185.000,73.000,185.000,-43.000,86.000,273.840,-60.000,64.000,185.000,-4.000,555.000,185.000,21.000,489.000,130.760,146.000,116.000,185.000,-40.000,15.000,185.000,-8.000,22.000,185.000,-12.000
02/01/2022,02/01/2022,FCR,1,NEGPOS_04_08,165.000,73.000,165.000,-43.000,86.000,290.120,-60.000,64.000,165.000,-11.000,555.000,165.000,28.000,489.000,65.240,146.000,116.000,165.000,-40.000,15.000,165.000,-8.000,22.000,165.000,-12.000
02/01/2022,02/01/2022,FCR,1,NEGPOS_08_12,118.830,73.000,118.830,-28.000,86.000,234.680,-60.000,64.000,118.830,-9.000,555.000,118.830,72.000,489.000,118.830,85.000,116.000,118.830,-40.000,15.000,118.830,-7.000,22.000,118.830,-13.000
02/01/2022,02/01/2022,FCR,1,NEGPOS_12_16,136.000,73.000,136.000,-28.000,86.000,238.320,-60.000,64.000,136.000,-9.000,555.000,136.000,92.000,489.000,136.000,64.000,116.000,136.000,-40.000,15.000,136.000,-6.000,22.000,136.000,-13.000
02/01/2022,02/01/2022,FCR,1,NEGPOS_16_20,99.000,73.000,99.000,-29.000,86.000,201.600,-60.000,64.000,99.000,-5.000,555.000,99.000,29.000,489.000,99.000,124.000,116.000,99.000,-40.000,15.000,99.000,-6.000,22.000,99.000,-13.000
02/01/2022,02/01/2022,FCR,1,NEGPOS_20_24,127.290,73.000,127.290,-42.000,86.000,261.440,-60.000,64.000,127.290,4.000,555.000,127.290,12.000,489.000,94.160,146.000,116.000,127.290,-40.000,15.000,127.290,-7.000,22.000,127.290,-13.000
03/01/2022,03/01/2022,FCR,1,NEGPOS_00_04,122.200,73.000,122.200,-3.000,86.000,446.160,-60.000,64.000,122.200,0.000,555.000,122.200,-8.000,489.000,122.200,132.000,116.000,122.200,-40.000,15.000,122.200,-8.000,22.000,122.200,-13.000
