DATE_FROM,DATE_TO,GATE_OPEN_TIME,GATE_CLOSURE_TIME,ALLOCATION_DEADLINE,TENDER_TYPE,ROUND,TYPE_OF_RESERVES,PRODUCT,TOTAL_DEMAND_[MW],GERMANY_BLOCK_DEMAND_[MW],GERMANY_BLOCK_EXPORT_LIMIT_[MW],GERMANY_BLOCK_CORE_PORTION_[MW],TRANSNETBW_AREA_CORE_PORTION_[MW],AMPRION_AREA_CORE_PORTION_[MW],50HERTZ_AREA_CORE_PORTION_[MW],TENNET_AREA_CORE_PORTION_[MW],BELGIUM_BLOCK_DEMAND_[MW],BELGIUM_BLOCK_EXPORT_LIMIT_[MW],BELGIUM_BLOCK_CORE_PORTION_[MW],ELIA_AREA_CORE_PORTION_[MW],FRANCE_BLOCK_DEMAND_[MW],FRANCE_BLOCK_EXPORT_LIMIT_[MW],FRANCE_BLOCK_CORE_PORTION_[MW],RTE_AREA_CORE_PORTION_[MW],NETHERLANDS_BLOCK_DEMAND_[MW],NETHERLANDS_BLOCK_EXPORT_LIMIT_[MW],NETHERLANDS_BLOCK_CORE_PORTION_[MW],TTB_AREA_CORE_PORTION_[MW],AUSTRIA_BLOCK_DEMAND_[MW],AUSTRIA_BLOCK_EXPORT_LIMIT_[MW],AUSTRIA_BLOCK_CORE_PORTION_[MW],APG_AREA_CORE_PORTION_[MW],SWITZERLAND_BLOCK_DEMAND_[MW],SWITZERLAND_BLOCK_EXPORT_LIMIT_[MW],SWITZERLAND_BLOCK_CORE_PORTION_[MW],SWISSGRID_AREA_CORE_PORTION_[MW],SLOVENIA_BLOCK_DEMAND_[MW],SLOVENIA_BLOCK_EXPORT_LIMIT_[MW],SLOVENIA_BLOCK_CORE_PORTION_[MW],ELES_AREA_CORE_PORTION_[MW],DENMARK_BLOCK_DEMAND_[MW],DENMARK_BLOCK_EXPORT_LIMIT_[MW],DENMARK_BLOCK_CORE_PORTION_[MW],ENERGINET_AREA_CORE_PORTION_[MW]
01/01/2020,01/01/2020,18/12/2019 11:00,30/12/2019 15:00,30/12/2019 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
02/01/2020,02/01/2020,19/12/2019 11:00,30/12/2019 15:00,30/12/2019 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
03/01/2020,03/01/2020,20/12/2019 11:00,30/12/2019 15:00,30/12/2019 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
04/01/2020,04/01/2020,21/12/2019 11:00,30/12/2019 15:00,30/12/2019 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
05/01/2020,05/01/2020,22/12/2019 11:00,30/12/2019 15:00,30/12/2019 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
06/01/2020,06/01/2020,23/12/2019 11:00,03/01/2020 15:00,03/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
07/01/2020,07/01/2020,24/12/2019 11:00,03/01/2020 15:00,03/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
08/01/2020,08/01/2020,25/12/2019 11:00,03/01/2020 15:00,03/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
09/01/2020,09/01/2020,26/12/2019 11:00,07/01/2020 15:00,07/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
10/01/2020,10/01/2020,27/12/2019 11:00,08/01/2020 15:00,08/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
