YEAR,MO,DY,HR,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DWN
2020,1,1,1,-999,-999,-999,0,0
2020,1,1,2,-999,-999,-999,0,0
2020,1,1,3,-999,-999,-999,0,0
2020,1,1,4,-999,-999,-999,0,0
2020,1,1,5,-999,-999,-999,0,0
2020,1,1,6,-999,-999,-999,0,0
2020,1,1,7,-999,-999,-999,0,0
2020,1,1,8,-999,-999,-999,0,0
2020,1,1,9,0.47,0.2,87.34,9.42,30.45
2020,1,1,10,0.52,0.2,82.61,36.7,94.52
2020,1,1,11,0.42,0.16,79.62,43.77,106.62
2020,1,1,12,0.41,0.15,78.61,47.95,116.14
2020,1,1,13,0.39,0.16,79.66,39.98,98.12
2020,1,1,14,0.35,0.17,82.69,25.55,63.31
2020,1,1,15,0.35,0.17,87.44,7.2,22.3
2020,1,1,16,-999,-999,-999,0,0
2020,1,1,17,-999,-999,-999,0,0
2020,1,1,18,-999,-999,-999,0,0
2020,1,1,19,-999,-999,-999,0,0
2020,1,1,20,-999,-999,-999,0,0
2020,1,1,21,-999,-999,-999,0,0
2020,1,1,22,-999,-999,-999,0,0
2020,1,1,23,-999,-999,-999,0,0
2020,1,2,0,-999,-999,-999,0,0
2020,1,2,1,-999,-999,-999,0,0
2020,1,2,2,-999,-999,-999,0,0
2020,1,2,3,-999,-999,-999,0,0
2020,1,2,4,-999,-999,-999,0,0
2020,1,2,5,-999,-999,-999,0,0
2020,1,2,6,-999,-999,-999,0,0
2020,1,2,7,-999,-999,-999,0,0
2020,1,2,8,-999,-999,-999,0,0
2020,1,2,9,0.39,0.19,87.3,8,25.98
2020,1,2,10,0.13,0.15,82.56,10.48,24.7
2020,1,2,11,0.11,0.13,79.55,11.62,28.71
2020,1,2,12,0.14,0.15,78.52,15.67,40.13
2020,1,2,13,0.11,0.14,79.56,11.27,28.48
2020,1,2,14,0.05,0.14,82.58,3.62,8.67
2020,1,2,15,0.38,0.18,87.33,7.77,24.42
2020,1,2,16,-999,-999,-999,0,0
2020,1,2,17,-999,-999,-999,0,0
2020,1,2,18,-999,-999,-999,0,0
2020,1,2,19,-999,-999,-999,0,0
2020,1,2,20,-999,-999,-999,0,0
2020,1,2,21,-999,-999,-999,0,0
2020,1,2,22,-999,-999,-999,0,0
2020,1,2,23,-999,-999,-999,0,0
2020,1,3,0,-999,-999,-999,0,0
2020,1,3,1,-999,-999,-999,0,0
2020,1,3,2,-999,-999,-999,0,0
2020,1,3,3,-999,-999,-999,0,0
2020,1,3,4,-999,-999,-999,0,0
2020,1,3,5,-999,-999,-999,0,0
2020,1,3,6,-999,-999,-999,0,0
2020,1,3,7,-999,-999,-999,0,0
2020,1,3,8,-999,-999,-999,0,0
2020,1,3,9,0.31,0.16,87.27,6.83,21.19
2020,1,3,10,0.34,0.2,82.51,25.52,63.44
2020,1,3,11,0.28,0.16,79.48,30.6,73.24
2020,1,3,12,0.38,0.15,78.43,45.33,106
2020,1,3,13,0.33,0.15,79.45,35.73,84.93
2020,1,3,14,0.36,0.18,82.45,27.98,66.82
2020,1,3,15,0.34,0.16,87.2,7.75,23.78
2020,1,3,16,-999,-999,-999,0,0
2020,1,3,17,-999,-999,-999,0,0
2020,1,3,18,-999,-999,-999,0,0
2020,1,3,19,-999,-999,-999,0,0
2020,1,3,20,-999,-999,-999,0,0
2020,1,3,21,-999,-999,-999,0,0
2020,1,3,22,-999,-999,-999,0,0
2020,1,3,23,-999,-999,-999,0,0
2020,1,4,0,-999,-999,-999,0,0
2020,1,4,1,-999,-999,-999,0,0
2020,1,4,2,-999,-999,-999,0,0
2020,1,4,3,-999,-999,-999,0,0
2020,1,4,4,-999,-999,-999,0,0
2020,1,4,5,-999,-999,-999,0,0
2020,1,4,6,-999,-999,-999,0,0
2020,1,4,7,-999,-999,-999,0,0
2020,1,4,8,-999,-999,-999,0,0
2020,1,4,9,0.26,0.12,87.22,5.33,17.42
2020,1,4,10,0.5,0.2,82.44,37.42,92.2
2020,1,4,11,0.6,0.2,79.4,63.75,156.65
2020,1,4,12,0.62,0.19,78.33,71.88,177.27
2020,1,4,13,0.57,0.19,79.34,59.05,147.76
2020,1,4,14,0.53,0.2,82.33,39.62,99.91
2020,1,4,15,0.52,0.2,87.07,11.4,36.89
2020,1,4,16,-999,-999,-999,0,0
2020,1,4,17,-999,-999,-999,0,0
2020,1,4,18,-999,-999,-999,0,0
2020,1,4,19,-999,-999,-999,0,0
2020,1,4,20,-999,-999,-999,0,0
2020,1,4,21,-999,-999,-999,0,0
2020,1,4,22,-999,-999,-999,0,0
2020,1,4,23,-999,-999,-999,0,0
2020,1,5,0,-999,-999,-999,0,0
2020,1,5,1,-999,-999,-999,0,0
2020,1,5,2,-999,-999,-999,0,0
2020,1,5,3,-999,-999,-999,0,0
2020,1,5,4,-999,-999,-999,0,0
2020,1,5,5,-999,-999,-999,0,0
2020,1,5,6,-999,-999,-999,0,0
2020,1,5,7,-999,-999,-999,0,0
2020,1,5,8,-999,-999,-999,0,0
2020,1,5,9,0.34,0.16,87.16,7.52,23.52
2020,1,5,10,0.26,0.16,82.37,20.5,48.24
2020,1,5,11,0.35,0.15,79.3,38.92,92.45
2020,1,5,12,0.19,0.14,78.23,22.3,53.52
2020,1,5,13,0.08,0.12,79.22,8.12,19.93
2020,1,5,14,0.11,0.15,82.2,9,21.12
2020,1,5,15,0.24,0.13,86.92,5.8,18.5
2020,1,5,16,-999,-999,-999,0,0
2020,1,5,17,-999,-999,-999,0,0
2020,1,5,18,-999,-999,-999,0,0
2020,1,5,19,-999,-999,-999,0,0
2020,1,5,20,-999,-999,-999,0,0
2020,1,5,21,-999,-999,-999,0,0
