time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0011,0,0,0,7.94,7.03,0
20190101:0111,0,0,0,8.1,7.24,0
20190101:0211,0,0,0,8.43,7.38,0
20190101:0311,0,0,0,8.73,7.45,0
20190101:0411,0,0,0,8.95,7.59,0
20190101:0511,0,0,0,8.33,7.93,0
20190101:0611,0,0,0,7.29,8.07,0
20190101:0711,0,0,0,7.02,7.72,0
20190101:0811,0,0,0,6.78,7.38,0
20190101:0911,107106000,408.6,6.79,6.69,7.45,0
20190101:1011,125394000,474.85,10.32,6.73,7.79,0
20190101:1111,35205000,147.52,11.9,6.74,8.48,0
20190101:1211,81717000,313.47,11.38,6.24,9.31,0
20190101:1311,48627000,194.46,8.8,5.69,9.93,0
20190101:1411,9087000,48.86,4.39,5.47,9.45,0
20190101:1511,0,0,0,5.29,9.72,0
20190101:1611,0,0,0,5.43,10.14,0
20190101:1711,0,0,0,5.29,9.79,0
20190101:1811,0,0,0,5.11,9.03,0
20190101:1911,0,0,0,4.57,7.59,0
20190101:2011,0,0,0,4.66,7.1,0
20190101:2111,0,0,0,4.63,6.9,0
20190101:2211,0,0,0,4.71,6.41,0
20190101:2311,0,0,0,4.64,5.79,0
20190102:0011,0,0,0,4.57,5.72,0
20190102:0111,0,0,0,4.5,5.79,0
20190102:0211,0,0,0,4.29,5.66,0
20190102:0311,0,0,0,4.08,5.45,0
20190102:0411,0,0,0,3.85,5.31,0
20190102:0511,0,0,0,3.6,5.1,0
20190102:0611,0,0,0,3.35,4.9,0
20190102:0711,0,0,0,3.08,5.52,0
20190102:0811,0,0,0,2.83,5.17,0
20190102:0911,100209000,379.13,6.84,2.83,4.97,0
20190102:1011,163092000,614.28,10.39,3.21,4.9,0
20190102:1111,164580000,621.99,11.98,3.66,4.69,0
20190102:1211,116805000,441.93,11.47,3.97,4.48,0
20190102:1311,79656000,306.14,8.91,3.96,4.07,0
20190102:1411,40329000,164.74,4.51,3.59,3.59,0
20190102:1511,0,0,0,2.78,2.97,0
20190102:1611,0,0,0,1.85,2.41,0
20190102:1711,0,0,0,1.07,2.14,0
20190102:1811,0,0,0,0.28,2,0
20190102:1911,0,0,0,-0.79,1.93,0
20190102:2011,0,0,0,-1.56,1.79,0
20190102:2111,0,0,0,-2.13,1.72,0
20190102:2211,0,0,0,-2.46,1.79,0
20190102:2311,0,0,0,-2.68,1.86,0
20190103:0011,0,0,0,-2.72,1.93,0
20190103:0111,0,0,0,-2.71,2,0
20190103:0211,0,0,0,-2.63,2.14,0
20190103:0311,0,0,0,-2.39,2.21,0
20190103:0411,0,0,0,-2.28,2.21,0
20190103:0511,0,0,0,-2.23,2.14,0
20190103:0611,0,0,0,-2.24,2.14,0
20190103:0711,0,0,0,-2.67,2.07,0
20190103:0811,0,0,0,-2.98,2,0
20190103:0911,84918000,319.6,6.89,-2.44,1.86,0
20190103:1011,60522000,234,10.46,-0.66,1.72,0
20190103:1111,127398000,482.4,12.07,0.52,1.59,0
20190103:1211,47367000,188.82,11.58,1.13,1.59,0
20190103:1311,54864000,215.36,9.03,1.04,1.66,0
20190103:1411,39876000,161.41,4.64,0.38,2,0
20190103:1511,0,0,0,-0.48,2.21,0
20190103:1611,0,0,0,-0.83,2.28,0
20190103:1711,0,0,0,-0.81,2.41,0
20190103:1811,0,0,0,-0.31,2.55,0
20190103:1911,0,0,0,-0.63,2.28,0
20190103:2011,0,0,0,-0.41,2.34,0
20190103:2111,0,0,0,0.14,2.48,0
20190103:2211,0,0,0,0.89,2.83,0
20190103:2311,0,0,0,1.79,3.1,0
20190104:0011,0,0,0,2.52,3.52,0
20190104:0111,0,0,0,3.19,3.86,0
20190104:0211,0,0,0,3.77,4.28,0
20190104:0311,0,0,0,3.99,4.48,0
20190104:0411,0,0,0,4.17,4.62,0
20190104:0511,0,0,0,4.25,5.03,0
