Period,Elområde,aFRR Upp Pris (EUR/MW),aFRR Upp Volym (MW),aFRR Ned Pris (EUR/MW),aFRR Ned Volym (MW),Publiceringstidpunkt
01/01/2022 00:00,,58.13,105,52.73,110,30/12/2021 13:00
01/01/2022 01:00,,0,0,0,0,30/12/2021 13:00
01/01/2022 02:00,,0,0,0,0,30/12/2021 13:00
01/01/2022 03:00,,0,0,0,0,30/12/2021 13:00
01/01/2022 04:00,,0,0,0,0,30/12/2021 13:00
01/01/2022 05:00,,0,0,0,0,30/12/2021 13:00
01/01/2022 06:00,,0,0,0,0,30/12/2021 13:00
01/01/2022 07:00,,57.56,105,51.95,105,30/12/2021 13:00
01/01/2022 08:00,,57.56,105,51.95,105,30/12/2021 13:00
01/01/2022 09:00,,57.56,105,51.95,105,30/12/2021 13:00
01/01/2022 10:00,,56.14,105,51.62,105,30/12/2021 13:00
01/01/2022 11:00,,56.14,105,51.62,105,30/12/2021 13:00
01/01/2022 12:00,,56.14,105,51.62,105,30/12/2021 13:00
01/01/2022 13:00,,0,0,0,0,30/12/2021 13:00
01/01/2022 14:00,,0,0,0,0,30/12/2021 13:00
01/01/2022 15:00,,0,0,0,0,30/12/2021 13:00
01/01/2022 16:00,,56.14,105,51.57,105,30/12/2021 13:00
01/01/2022 17:00,,56.14,105,51.57,105,30/12/2021 13:00
01/01/2022 18:00,,56.14,105,51.57,105,30/12/2021 13:00
01/01/2022 19:00,,55.71,105,51.24,105,30/12/2021 13:00
01/01/2022 20:00,,55.71,105,51.24,105,30/12/2021 13:00
01/01/2022 21:00,,58.85,105,53.52,105,30/12/2021 13:00
01/01/2022 22:00,,57.99,105,53.46,110,30/12/2021 13:00
01/01/2022 23:00,,57.99,105,53.46,110,30/12/2021 13:00
02/01/2022 00:00,,58.13,105,52.73,110,30/12/2021 13:00
02/01/2022 01:00,,0,0,0,0,30/12/2021 13:00
02/01/2022 02:00,,0,0,0,0,30/12/2021 13:00
02/01/2022 03:00,,0,0,0,0,30/12/2021 13:00
02/01/2022 04:00,,0,0,0,0,30/12/2021 13:00
02/01/2022 05:00,,0,0,0,0,30/12/2021 13:00
02/01/2022 06:00,,0,0,0,0,30/12/2021 13:00
02/01/2022 07:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 08:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 09:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 10:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 11:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 12:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 13:00,,0,0,0,0,30/12/2021 13:00
02/01/2022 14:00,,0,0,0,0,30/12/2021 13:00
02/01/2022 15:00,,0,0,0,0,30/12/2021 13:00
02/01/2022 16:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 17:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 18:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 19:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 20:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 21:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 22:00,,57.99,105,52.73,110,30/12/2021 13:00
02/01/2022 23:00,,57.99,105,52.73,110,30/12/2021 13:00
03/01/2022 00:00,,58.1,105,58.24,105,30/12/2021 13:00
03/01/2022 01:00,,0,0,0,0,30/12/2021 13:00
03/01/2022 02:00,,0,0,0,0,30/12/2021 13:00
03/01/2022 03:00,,0,0,0,0,30/12/2021 13:00
