,HourUTC,HourDK,mFRR_DownExpected,mFRR_DownPurchased,mFRR_DownPriceDKK,mFRR_DownPriceEUR,mFRR_DownExpectedXtra,mFRR_DownPurchasedXtra,mFRR_DownPriceXtraDKK,mFRR_DownPriceXtraEUR,mFRR_UpExpected,mFRR_UpPurchased,mFRR_UpPriceDKK,mFRR_UpPriceEUR,mFRR_UpExpectedXtra,mFRR_UpPurchasedXtra,mFRR_UpPriceXtraDKK,mFRR_UpPriceXtraEUR
24094,2019-12-31 23:00:00,2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.700012,1.0,0.13,0.0,0.0,0.0,0.0
24093,2020-01-01 00:00:00,2020-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.700012,1.0,0.13,0.0,0.0,0.0,0.0
24092,2020-01-01 01:00:00,2020-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.700012,1.0,0.13,0.0,0.0,0.0,0.0
24091,2020-01-01 02:00:00,2020-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.700012,1.0,0.13,0.0,0.0,0.0,0.0
24090,2020-01-01 03:00:00,2020-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.700012,1.0,0.13,0.0,0.0,0.0,0.0
24089,2020-01-01 04:00:00,2020-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.0,1.0,0.13,0.0,0.0,0.0,0.0
24088,2020-01-01 05:00:00,2020-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,298.700012,3.0,0.4,0.0,0.0,0.0,0.0
24087,2020-01-01 06:00:00,2020-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.700012,3.0,0.4,0.0,0.0,0.0,0.0
24086,2020-01-01 07:00:00,2020-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,301.399994,3.0,0.4,0.0,0.0,0.0,0.0
24085,2020-01-01 08:00:00,2020-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.799988,3.0,0.4,0.0,0.0,0.0,0.0
24084,2020-01-01 09:00:00,2020-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.600006,3.0,0.4,0.0,0.0,0.0,0.0
24083,2020-01-01 10:00:00,2020-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.600006,3.0,0.4,0.0,0.0,0.0,0.0
24082,2020-01-01 11:00:00,2020-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,300.799988,3.0,0.4,0.0,0.0,0.0,0.0
24081,2020-01-01 12:00:00,2020-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,285.200012,3.0,0.4,0.0,0.0,0.0,0.0
24080,2020-01-01 13:00:00,2020-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,285.200012,3.0,0.4,0.0,0.0,0.0,0.0
24079,2020-01-01 14:00:00,2020-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,285.200012,3.0,0.4,0.0,0.0,0.0,0.0
24078,2020-01-01 15:00:00,2020-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,287.899994,3.0,0.4,0.0,0.0,0.0,0.0
24077,2020-01-01 16:00:00,2020-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,289.899994,3.0,0.4,0.0,0.0,0.0,0.0
24076,2020-01-01 17:00:00,2020-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,292.100006,3.0,0.4,0.0,0.0,0.0,0.0
24075,2020-01-01 18:00:00,2020-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,285.100006,3.0,0.4,0.0,0.0,0.0,0.0
24074,2020-01-01 19:00:00,2020-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,285.799988,1.0,0.13,0.0,0.0,0.0,0.0
24073,2020-01-01 20:00:00,2020-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,285.799988,1.0,0.13,0.0,0.0,0.0,0.0
24072,2020-01-01 21:00:00,2020-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,285.799988,1.0,0.13,0.0,0.0,0.0,0.0
24071,2020-01-01 22:00:00,2020-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,288.899994,1.0,0.13,0.0,0.0,0.0,0.0
24070,2020-01-01 23:00:00,2020-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,290.0,1.0,0.13,0.0,0.0,0.0,0.0
24069,2020-01-02 00:00:00,2020-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,290.200012,1.0,0.13,0.0,0.0,0.0,0.0
24068,2020-01-02 01:00:00,2020-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,290.0,1.0,0.13,0.0,0.0,0.0,0.0
24067,2020-01-02 02:00:00,2020-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,290.0,1.0,0.13,0.0,0.0,0.0,0.0
24066,2020-01-02 03:00:00,2020-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,290.0,1.0,0.13,0.0,0.0,0.0,0.0
24065,2020-01-02 04:00:00,2020-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,289.600006,1.0,0.13,0.0,0.0,0.0,0.0
24064,2020-01-02 05:00:00,2020-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.700012,3.0,0.4,0.0,0.0,0.0,0.0
24063,2020-01-02 06:00:00,2020-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,295.0,4.0,0.54,0.0,0.0,0.0,0.0
24062,2020-01-02 07:00:00,2020-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,287.0,4.0,0.54,0.0,0.0,0.0,0.0
24061,2020-01-02 08:00:00,2020-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,287.0,4.0,0.54,0.0,0.0,0.0,0.0
24060,2020-01-02 09:00:00,2020-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,294.0,4.0,0.54,0.0,0.0,0.0,0.0
24059,2020-01-02 10:00:00,2020-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,298.0,4.0,0.54,0.0,0.0,0.0,0.0
24058,2020-01-02 11:00:00,2020-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,296.0,4.0,0.54,0.0,0.0,0.0,0.0
24057,2020-01-02 12:00:00,2020-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,296.0,4.0,0.54,0.0,0.0,0.0,0.0
24056,2020-01-02 13:00:00,2020-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,297.0,4.0,0.54,0.0,0.0,0.0,0.0
24055,2020-01-02 14:00:00,2020-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,297.0,4.0,0.54,0.0,0.0,0.0,0.0
24054,2020-01-02 15:00:00,2020-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,289.299988,4.0,0.54,0.0,0.0,0.0,0.0
24053,2020-01-02 16:00:00,2020-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.600006,4.0,0.54,0.0,0.0,0.0,0.0
24052,2020-01-02 17:00:00,2020-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.600006,4.0,0.54,0.0,0.0,0.0,0.0
24051,2020-01-02 18:00:00,2020-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,287.799988,4.0,0.54,0.0,0.0,0.0,0.0
24050,2020-01-02 19:00:00,2020-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,288.899994,4.0,0.54,0.0,0.0,0.0,0.0
24049,2020-01-02 20:00:00,2020-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,291.700012,3.0,0.4,0.0,0.0,0.0,0.0
24048,2020-01-02 21:00:00,2020-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,291.700012,3.0,0.4,0.0,0.0,0.0,0.0
24047,2020-01-02 22:00:00,2020-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,292.799988,3.0,0.4,0.0,0.0,0.0,0.0
24046,2020-01-02 23:00:00,2020-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.0,1.0,0.13,0.0,0.0,0.0,0.0
24045,2020-01-03 00:00:00,2020-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.0,1.0,0.13,0.0,0.0,0.0,0.0
24044,2020-01-03 01:00:00,2020-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.0,1.0,0.13,0.0,0.0,0.0,0.0
24043,2020-01-03 02:00:00,2020-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.0,1.0,0.13,0.0,0.0,0.0,0.0
24042,2020-01-03 03:00:00,2020-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.0,1.0,0.13,0.0,0.0,0.0,0.0
24041,2020-01-03 04:00:00,2020-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,284.100006,1.0,0.13,0.0,0.0,0.0,0.0
24040,2020-01-03 05:00:00,2020-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,288.0,1.0,0.13,0.0,0.0,0.0,0.0
